Slide,Section,Title,Source references,Notes / qualifications
15,02 / Root-cause analysis,Approve a conclusion with its supporting and limiting evidence,"[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — stageFor; ConclusionForm; KnowledgeProposal
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion; return_to_investigation; propose_reusable_knowledge","approve_conclusion requires type, rationale, supporting evidence, alternatives, limiting evidence and reconciliation of related failures; identified conclusions also require a root cause. It closes the RCA case and managed issue. Current closure outcomes are root_cause_identified and unresolved. Historical confirmed/genuine_change/test_design_flaw paths remain internal and are not shown as current UI outcomes."
16,02 / Knowledge,Govern knowledge before it becomes reusable authority,"[S06] source-codes/USER_GUIDE.md — Govern knowledge
[S19] source-codes/backend/kb.py — publish_rule and archive role checks
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Packaged YAML and governed document versions
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Saving a KB proposal
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — KnowledgeProposal","Lifecycle shown is the common document/rule path; actual data also includes expired, superseded and under_suspicion states. Packaged D08/D11 YAML remains the runtime source for those methodologies. Publishing a D11 proposal does not automatically modify the source-controlled knowledge release or change the current run."
17,02 / Traceability,Retain the chain from snapshot to decision,"[S21] source-codes/backend/domains/aar/README.md — AAR domain responsibilities
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md — AAR storage architecture
[S30] source-codes/backend/domains/aar/repository.py — Save, exact reuse and integrity checks
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Four artifacts
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Results and persistence
[S15] source-codes/backend/domains/rca/service.py — Audit and conclusion","The UI uses Analytics Artifact Repository while backend documentation uses Analysis Artifact Repository; both refer to AAR. Exact reuse depends on compatible governed identity and payload, not approximate similarity. D04 stores structured diagnostic evidence; it should not be represented as having the same full AAR chain as later diagnostics."
18,02 / Platform,Separate the user workflow from the execution and evidence services,"[S05] source-codes/README.md — Code organization
[S07] source-codes/TSD.md — Architecture, persistence, configuration
[S21] source-codes/backend/domains/aar/README.md — AAR
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md — Data Sourcing flow
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Execution ownership and workload governor","Current stack is React/Vite UI, FastAPI/Python services, SQLite metadata/working state, file-backed uploads and immutable artifacts. Azure OpenAI supports optional/advisory and RCA features where configured. One tenant per deployment is the documented core boundary. No Kubernetes, distributed cluster, enterprise SSO, or automatic source remediation is claimed."
19,03 / Diagnostic catalog,See which diagnostic implementations can be launched,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register
[S10] source-codes/backend/dq_diagnostics/dispatch.py — adapter dispatch
[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md
[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md","Implemented means a current production package with runner, manifest, UI and test evidence. It does not mean all acceptance or deployment checks were rerun for this presentation. Five enabled, one paused. Source keys map to repository paths in the appendix and notes."
20,03 / Diagnostic catalog,Keep planned workflows and supporting analytics visible,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register rows 12,17,20
[S23] source-codes/docs/architecture/phase1b-missingness.md — Product boundary
[S24] source-codes/backend/supporting_analyses/missingness.py — MissingnessCapability
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail","The three pending workflows have framework metadata but no current diagnostic adapter in dispatch.py. D20 has adjacent KB/AI building blocks, but the registered end-to-end proposal loop is not an executable diagnostic. Missingness is implemented independently and must not be counted as a tenth registered diagnostic."
21,03 / Diagnostic catalog,Retain deferred diagnostics without implying availability,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail rows 2–20, MVP scope column
[S09] source-codes/backend/dq_diagnostics/register.py — Unknown diagnostic refusal
[S28] source-codes/docs/0.4.0/00-framework.md — §5 Deferred rows","Deferred describes workbook planning, not a committed release date. Adjacent capabilities may overlap, but they do not activate a standalone registered diagnostic. Each entry receives a dedicated concise page later in the deck."
22,03 / Diagnostic catalog,Retain deferred diagnostics without implying availability,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail rows 2–20, MVP scope column
[S09] source-codes/backend/dq_diagnostics/register.py — Unknown diagnostic refusal
[S28] source-codes/docs/0.4.0/00-framework.md — §5 Deferred rows","Deferred describes workbook planning, not a committed release date. Adjacent capabilities may overlap, but they do not activate a standalone registered diagnostic. Each entry receives a dedicated concise page later in the deck."
23,03 / Extended catalog,Make broader framework references explicit,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Detailed_DQ_Framework Analytical Diagnostics column
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Plan B rows 5–6; Decisions & rationale rows 14–16
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md — Versioned profiling
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Two-snapshot PSI
[S25] source-codes/backend/dq_tests/registry.py — Retired registry","Classification uses the requested four status types. R03/R04 are partially implemented only at the enabling-capability level; the fully managed monitoring diagnostics/workflows are not established. R01 combines formal MCAR/MNAR references but not the implemented descriptive Missingness Mechanism. Metric alternatives (JS/Wasserstein, mutual information, IQR/isolation forest) are alternatives within listed methods, not additional diagnostic rows. Primary user: analytics/model team with SME and data-team support."
24,03 / Extended catalog,Make broader framework references explicit,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Detailed_DQ_Framework Analytical Diagnostics column
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Plan B rows 5–6; Decisions & rationale rows 14–16
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md — Versioned profiling
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Two-snapshot PSI
[S25] source-codes/backend/dq_tests/registry.py — Retired registry","Classification uses the requested four status types. R03/R04 are partially implemented only at the enabling-capability level; the fully managed monitoring diagnostics/workflows are not established. R01 combines formal MCAR/MNAR references but not the implemented descriptive Missingness Mechanism. Metric alternatives (JS/Wasserstein, mutual information, IQR/isolation forest) are alternatives within listed methods, not additional diagnostic rows. Primary user: analytics/model team with SME and data-team support."
25,03 / Historical catalog,Account for the retired fourteen-test library,"[S34] source-codes/backend/dq_tests/README.md — Historical fourteen-test descriptions
[S25] source-codes/backend/dq_tests/registry.py — Empty registry and unconditional unknown-test refusal
[S26] source-codes/docs/0.4.0/01-disposition.md — Test disposition table","Every historical library entry is named here to prevent accidental omission or double-counting. Retired items are historical references, with current successor status stated separately. These are not fourteen additional executable diagnostics. The disposition document contains historical counts/labels; actual current code and register take priority. No dedicated current launch or RCA subsection is warranted for removed executors."
26,03 / Historical catalog,Account for the retired fourteen-test library,"[S34] source-codes/backend/dq_tests/README.md — Historical fourteen-test descriptions
[S25] source-codes/backend/dq_tests/registry.py — Empty registry and unconditional unknown-test refusal
[S26] source-codes/docs/0.4.0/01-disposition.md — Test disposition table","Every historical library entry is named here to prevent accidental omission or double-counting. Retired items are historical references, with current successor status stated separately. These are not fourteen additional executable diagnostics. The disposition document contains historical counts/labels; actual current code and register take priority. No dedicated current launch or RCA subsection is warranted for removed executors."
27,04 / T1-D02 • A / Purpose,Spot features whose target separation deserves review,"[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Binning workflow; Progressive run review; Governed final report
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py — assess_feature_target_separation, _candidate_findings
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py — classify_feature
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py — Scope and freeze
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Persist findings and report
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • enabled. Personas are operating responsibilities, not separate RBAC roles."
28,04 / T1-D02 • B / Approach,Follow the governed processing path,"[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Binning workflow; Progressive run review; Governed final report
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py — assess_feature_target_separation, _candidate_findings
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py — classify_feature
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py — Scope and freeze
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Persist findings and report
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","orchestration.classify_feature uses >= category boundaries: AUC 0.90/0.70/0.55 and IV 0.50/0.30/0.05 by default, tunable and ordered. Candidate flags use a separate threshold contract (leakage AUC/IV and poor-discrimination AUC/IV). AUC/IV support multiple target routes; availability and failures are explicit. A weak univariate result does not show that a feature has no joint value."
29,04 / T1-D02 • C / Evidence,Read the metrics alongside scope and limitations,"[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Binning workflow; Progressive run review; Governed final report
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py — assess_feature_target_separation, _candidate_findings
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py — classify_feature
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py — Scope and freeze
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Persist findings and report
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","orchestration.classify_feature uses >= category boundaries: AUC 0.90/0.70/0.55 and IV 0.50/0.30/0.05 by default, tunable and ordered. Candidate flags use a separate threshold contract (leakage AUC/IV and poor-discrimination AUC/IV). AUC/IV support multiple target routes; availability and failures are explicit. A weak univariate result does not show that a feature has no joint value."
30,04 / T1-D02 • D / Launch,"Confirm the scope, launch once and review final evidence","[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Binning workflow; Progressive run review; Governed final report
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py — assess_feature_target_separation, _candidate_findings
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py — classify_feature
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py — Scope and freeze
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Persist findings and report
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Complete or partial feature evidence remains visible. Final findings become available after run finalization. Invalid/action-required inputs and per-feature ROC/binning errors are explicit; previews are not final results.
31,04 / T1-D02 • E / Issue & RCA,Carry the finding into a controlled investigation,"[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Binning workflow; Progressive run review; Governed final report
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py — assess_feature_target_separation, _candidate_findings
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py — classify_feature
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py — Scope and freeze
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Persist findings and report
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: correct construction or review feature use; manually upload corrected data and reassess.
32,04 / T2-D04 • A / Purpose,Check whether rows satisfy governed business rules,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 4 workflow_pending
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md — Package ownership
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py — evaluate_rule and violation_pattern
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py — Manifest and frozen rules
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py — persist, run and sync_diagnostic_issues
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • paused. Personas are operating responsibilities, not separate RBAC roles."
33,04 / T2-D04 • B / Approach,Follow the governed processing path,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 4 workflow_pending
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md — Package ownership
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py — evaluate_rule and violation_pattern
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py — Manifest and frozen rules
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py — persist, run and sync_diagnostic_issues
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","engine.evaluate_rule returns NOT-APPLICABLE for unresolved roles, empty scope, unavailable related tables or entirely skipped values. runner.persist writes structured diagnostic results and one finding per rule. No published bound rules produces NOT-APPLICABLE, never silent PASS. This paused package uses the structured diagnostic store and should not be described as having every newer AAR report feature."
34,04 / T2-D04 • C / Evidence,Read the metrics alongside scope and limitations,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 4 workflow_pending
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md — Package ownership
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py — evaluate_rule and violation_pattern
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py — Manifest and frozen rules
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py — persist, run and sync_diagnostic_issues
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","engine.evaluate_rule returns NOT-APPLICABLE for unresolved roles, empty scope, unavailable related tables or entirely skipped values. runner.persist writes structured diagnostic results and one finding per rule. No published bound rules produces NOT-APPLICABLE, never silent PASS. This paused package uses the structured diagnostic store and should not be described as having every newer AAR report feature."
35,04 / T2-D04 • D / Launch,"Confirm the scope, launch once and review final evidence","[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 4 workflow_pending
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md — Package ownership
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py — evaluate_rule and violation_pattern
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py — Manifest and frozen rules
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py — persist, run and sync_diagnostic_issues
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Supported launch sequence is summarized from manifest/runner and diagnostic documentation. Drafts are mutable before freeze; frozen scope and completed artifacts remain historical evidence. Launch availability always follows the register. Implemented path produces complete rule accounting and hands VIOLATION findings to issue synchronization. Current launches are refused. In the code path, missing scope yields reasons; execution errors are sanitized."
36,04 / T2-D04 • E / Issue & RCA,Carry the finding into a controlled investigation,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 4 workflow_pending
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md — Package ownership
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py — evaluate_rule and violation_pattern
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py — Manifest and frozen rules
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py — persist, run and sync_diagnostic_issues
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register",Finding condition and creation gate are implemented as described. RCA uses the existing shared service. Investigation suggestions are derived from diagnostic evidence and framework remediation guidance; they are not automated source fixes. Optional tracked remediation and manual fresh-data assessment are separate from current RCA conclusion approval. Suggested: correct source logic or submit a governed rule change; retest manually after approval and re-enablement.
37,04 / T2-D06 • A / Purpose,Find missing facility-period rows inside observed lifespans,"[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md — Governed report
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — _prepare, duplicate groups, observed-span evaluation
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py — Role/grain/floor confirmation and freeze
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Persist, human review and report
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — Regression fixtures
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 6 executable
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Purpose and expected outcome derived from diagnostic sources. Implemented • enabled. Personas are operating responsibilities, not separate RBAC roles."
38,04 / T2-D06 • B / Approach,Follow the governed processing path,"[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md — Governed report
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — _prepare, duplicate groups, observed-span evaluation
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py — Role/grain/floor confirmation and freeze
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Persist, human review and report
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — Regression fixtures
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic 6 executable
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current diagnostic register","Current engine methodology row-completeness-observed-span-v1 overrides the workbook expected-population/anti-join wording. The old contract header says workflow pending, but current register enables #6. Rule IDs are T2D6-01 through T2D6-06. Example from test_invalid_rows_full_calendar_gap_duplicates_and_observed_span_reconcile: 6 required pairs, 4 received, 1 surplus duplicate, 1 invalid row, and 4 primary issue instances (invalid + 2 missing + 1 surplus). This is a synthetic regression fixture, not client data or a new test run."
